Height,Weight,Head Round,Shoulder Width,Woman
190.0,90.0,57.0,4.976922700858092,0.0
170.0,70.0,58.0,4.692832652213527,0.0
193.0,87.0,58.0,4.100049842504891,0.0
174.0,66.0,56.0,4.061740484913411,0.0
173.0,71.0,54.0,4.457384794443136,0.0
191.0,92.0,54.0,4.244917671729209,0.0
176.0,84.0,57.0,4.070627663028587,0.0
186.0,91.0,56.0,5.135013879217841,0.0
176.0,77.0,57.0,4.195534174581731,0.0
177.0,62.0,56.0,4.91538752422134,0.0
172.0,59.0,57.0,5.24814738959036,0.0
183.0,81.0,54.0,4.494262769814579,0.0
175.0,65.0,56.0,3.954296467230766,0.0
183.0,79.0,57.0,4.012543962351374,0.0
186.0,89.0,56.0,4.468069154611417,0.0
180.0,80.0,56.0,4.086189361247695,0.0
189.0,88.0,58.0,4.419993597042608,0.0
173.0,79.0,55.0,5.300848274109713,0.0
186.0,87.0,56.0,5.0834579200370245,0.0
192.0,100.0,54.0,4.8236122927330625,0.0
186.0,81.0,54.0,4.352105220916084,0.0
179.0,75.0,57.0,3.9689114531825993,0.0
179.0,80.0,55.0,5.062317750769373,0.0
180.0,70.0,58.0,4.565673237433032,0.0
181.0,70.0,56.0,4.413842634763069,0.0
185.0,91.0,56.0,4.791727251521175,0.0
175.0,80.0,55.0,5.214361848530867,0.0
168.0,63.0,58.0,4.65278815539778,0.0
182.0,86.0,57.0,5.376957810697239,0.0
171.0,64.0,57.0,5.220765916178815,0.0
173.0,69.0,54.0,4.528058128021686,0.0
168.0,73.0,58.0,3.8392159345928265,0.0
172.0,63.0,54.0,5.32611024395915,0.0
184.0,89.0,58.0,3.9347454833170157,0.0
191.0,78.0,58.0,4.643910274291022,0.0
179.0,69.0,56.0,4.364413149872357,0.0
191.0,80.0,57.0,4.5848890014930905,0.0
170.0,60.0,57.0,5.074522126320211,0.0
185.0,80.0,56.0,5.03358242356487,0.0
175.0,84.0,57.0,4.3906249471068985,0.0
175.0,81.0,55.0,5.1124429191087035,0.0
180.0,65.0,58.0,4.091449341824348,0.0
172.0,78.0,54.0,3.917156959246585,0.0
175.0,77.0,57.0,3.937622653952159,0.0
191.0,81.0,58.0,5.142136598557796,0.0
176.0,73.0,58.0,4.824103744978229,0.0
181.0,89.0,57.0,4.507511321420277,0.0
179.0,85.0,54.0,4.54612407636668,0.0
